date,open,high,low,close,volume,amount,stock_code,stock_name,market
2023-06-02,1515.28,1541.21,1507.09,1538.86,2505802,,sh.600519,A股贵州茅台,CN
2023-06-05,1534.77,1550.17,1531.86,1533.7,1620050,,sh.600519,A股贵州茅台,CN
2023-06-06,1538.31,1551.21,1521.32,1535.54,1991392,,sh.600519,A股贵州茅台,CN
2023-06-07,1541.06,1546.42,1519.89,1520.72,1788964,,sh.600519,A股贵州茅台,CN
2023-06-08,1525.26,1542.92,1519.9,1536.47,1470272,,sh.600519,A股贵州茅台,CN
2023-06-09,1540.14,1545.65,1534.63,1534.63,1758041,,sh.600519,A股贵州茅台,CN
2023-06-12,1534.64,1573.31,1530.5,1562.26,2702944,,sh.600519,A股贵州茅台,CN
2023-06-13,1560.31,1570.19,1552.13,1565.02,1466254,,sh.600519,A股贵州茅台,CN
2023-06-14,1583.45,1597.48,1571.67,1590.71,3150580,,sh.600519,A股贵州茅台,CN
2023-06-15,1593.89,1617.21,1587.13,1616.61,2522257,,sh.600519,A股贵州茅台,CN
2023-06-16,1618.45,1658.06,1612.09,1655.93,3791789,,sh.600519,A股贵州茅台,CN
2023-06-19,1648.85,1656.17,1600.95,1606.48,3169992,,sh.600519,A股贵州茅台,CN
2023-06-20,1602.79,1625.82,1598.18,1605.98,2094674,,sh.600519,A股贵州茅台,CN
2023-06-21,1602.79,1618.08,1598.18,1598.95,1772061,,sh.600519,A股贵州茅台,CN
2023-06-26,1584.47,1593.58,1561.34,1574.24,2399268,,sh.600519,A股贵州茅台,CN
2023-06-27,1575.15,1584.09,1566.03,1576.12,1517446,,sh.600519,A股贵州茅台,CN
2023-06-28,1578.09,1597.26,1576.08,1592.09,1857356,,sh.600519,A股贵州茅台,CN
2023-06-29,1594.5,1598.18,1577.93,1578.57,1423116,,sh.600519,A股贵州茅台,CN
2023-06-30,1589.98,1598.39,1577.34,1581.57,2045869,,sh.600519,A股贵州茅台,CN
2023-07-03,1589.05,1613.63,1582.5,1612.52,1913909,,sh.600519,A股贵州茅台,CN
2023-07-04,1612.62,1622.2,1606.89,1618.6,1247238,,sh.600519,A股贵州茅台,CN
2023-07-05,1618.04,1619.89,1589.98,1604.37,1474539,,sh.600519,A股贵州茅台,CN
2023-07-06,1598.55,1620.85,1589.98,1592.77,1514062,,sh.600519,A股贵州茅台,CN
2023-07-07,1590.92,1598.39,1580.63,1580.66,1516742,,sh.600519,A股贵州茅台,CN
2023-07-10,1594.66,1603.98,1589.98,1590.83,1347741,,sh.600519,A股贵州茅台,CN
2023-07-11,1599.34,1604.17,1591.95,1599.34,1258270,,sh.600519,A股贵州茅台,CN
2023-07-12,1602.18,1611.5,1600.58,1602.89,1328467,,sh.600519,A股贵州茅台,CN
2023-07-13,1610.55,1632.46,1607.76,1625.9,2580654,,sh.600519,A股贵州茅台,CN
2023-07-14,1642.36,1644.7,1628.52,1639.55,1855030,,sh.600519,A股贵州茅台,CN
2023-07-17,1637.68,1637.68,1614.86,1618.01,1433648,,sh.600519,A股贵州茅台,CN
2023-07-18,1621.39,1622.26,1609.63,1611.31,1473765,,sh.600519,A股贵州茅台,CN
2023-07-19,1604.02,1616.17,1602.89,1611.5,1248322,,sh.600519,A股贵州茅台,CN
2023-07-20,1616.16,1635.79,1610.56,1612.43,1669265,,sh.600519,A股贵州茅台,CN
2023-07-21,1619.8,1657.79,1614.3,1656.67,3937740,,sh.600519,A股贵州茅台,CN
2023-07-24,1637.24,1656.53,1637.24,1656.53,1971337,,sh.600519,A股贵州茅台,CN
2023-07-25,1683.51,1710.52,1683.5,1710.22,4308646,,sh.600519,A股贵州茅台,CN
2023-07-26,1710.22,1717.17,1697.62,1710.22,1961145,,sh.600519,A股贵州茅台,CN
2023-07-27,1717.18,1734.76,1710.36,1719.08,2034043,,sh.600519,A股贵州茅台,CN
2023-07-28,1713.44,1777.04,1709.71,1774.24,3901792,,sh.600519,A股贵州茅台,CN
2023-07-31,1784.52,1809.78,1752.72,1758.88,4537861,,sh.600519,A股贵州茅台,CN
2023-08-01,1756.47,1783.54,1756.36,1766.75,1923062,,sh.600519,A股贵州茅台,CN
2023-08-02,1761.52,1767.69,1745.99,1758.34,1850872,,sh.600519,A股贵州茅台,CN
2023-08-03,1748.98,1767.69,1730.74,1756.9,2154347,,sh.600519,A股贵州茅台,CN
2023-08-04,1765.65,1783.14,1760.21,1770.93,2457364,,sh.600519,A股贵州茅台,CN
2023-08-07,1759.22,1775.17,1749.95,1765.75,2389245,,sh.600519,A股贵州茅台,CN
2023-08-08,1758.36,1771.16,1743.45,1767.69,1773618,,sh.600519,A股贵州茅台,CN
2023-08-09,1767.69,1781.72,1761.1,1767.95,1852346,,sh.600519,A股贵州茅台,CN
2023-08-10,1760.21,1766.75,1741.78,1753.66,1843619,,sh.600519,A股贵州茅台,CN
2023-08-11,1763.01,1763.39,1715.2,1715.31,2678649,,sh.600519,A股贵州茅台,CN
2023-08-14,1692.87,1706.88,1679.77,1686.32,2373119,,sh.600519,A股贵州茅台,CN
2023-08-15,1691.93,1700.35,1684.46,1695.65,1481799,,sh.600519,A股贵州茅台,CN
2023-08-16,1690.6,1705.35,1689.12,1702.22,1318431,,sh.600519,A股贵州茅台,CN
2023-08-17,1689.2,1715.31,1684.96,1709.75,1729037,,sh.600519,A股贵州茅台,CN
2023-08-18,1713.43,1716.24,1685.94,1685.94,1702334,,sh.600519,A股贵州茅台,CN
2023-08-21,1676.97,1696.6,1674.23,1675.1,1891181,,sh.600519,A股贵州茅台,CN
2023-08-22,1684.44,1685.91,1656.41,1672.29,2665036,,sh.600519,A股贵州茅台,CN
2023-08-23,1680.71,1683.51,1655.53,1659.2,1991222,,sh.600519,A股贵州茅台,CN
