date,open,high,low,close,volume,amount,stock_code,stock_name,market
2018-04-12,373.26,374.36,360.72,364.78,22350900,8539267275.0,HK.00700,腾讯控股,HK
2018-04-13,367.91,368.1,359.25,359.98,21225890,8022094156.0,HK.00700,腾讯控股,HK
2018-04-16,358.88,359.8,351.87,355.37,27012078,10008327848.0,HK.00700,腾讯控股,HK
2018-04-17,355.56,358.69,348.0,350.03,30822995,11374214551.0,HK.00700,腾讯控股,HK
2018-04-18,356.48,357.22,346.52,352.61,30504896,11243801688.0,HK.00700,腾讯控股,HK
2018-04-19,356.3,359.25,353.16,357.95,23661381,8828937096.0,HK.00700,腾讯控股,HK
2018-04-20,358.14,358.88,351.13,352.79,19643832,7274225393.0,HK.00700,腾讯控股,HK
2018-04-23,350.4,352.79,346.71,347.08,20954464,7634859882.0,HK.00700,腾讯控股,HK
2018-04-24,349.47,352.06,347.26,349.47,15752713,5761424714.0,HK.00700,腾讯控股,HK
2018-04-25,344.13,346.16,338.6,340.44,37775603,13504684260.0,HK.00700,腾讯控股,HK
2018-04-26,341.55,343.94,331.59,336.2,37924819,13375029605.0,HK.00700,腾讯控股,HK
2018-04-27,343.39,344.13,336.94,341.91,28688583,10250314509.0,HK.00700,腾讯控股,HK
2018-04-30,345.6,346.71,342.65,344.31,13973129,5047874112.0,HK.00700,腾讯控股,HK
2018-05-02,344.31,349.66,344.31,346.52,20831802,7563806902.0,HK.00700,腾讯控股,HK
2018-05-03,342.84,343.94,338.23,338.78,25931492,9233995422.0,HK.00700,腾讯控股,HK
2018-05-04,343.02,343.02,336.01,336.75,20964207,7452372659.0,HK.00700,腾讯控股,HK
2018-05-07,341.55,342.28,329.93,334.17,37171546,13060999243.0,HK.00700,腾讯控股,HK
2018-05-08,337.86,346.71,336.01,343.94,36224743,12984708014.0,HK.00700,腾讯控股,HK
2018-05-09,348.0,349.66,343.94,347.63,22713704,8262082856.0,HK.00700,腾讯控股,HK
2018-05-10,351.69,358.69,350.76,358.32,33755083,12561825168.0,HK.00700,腾讯控股,HK
2018-05-11,363.67,366.44,359.98,360.72,26797370,10173481720.0,HK.00700,腾讯控股,HK
2018-05-14,366.44,368.1,360.9,363.49,22599974,8590661845.0,HK.00700,腾讯控股,HK
2018-05-15,363.49,364.22,350.76,350.76,35947250,13310822900.0,HK.00700,腾讯控股,HK
2018-05-16,351.32,351.5,343.94,349.11,32123864,11705698536.0,HK.00700,腾讯控股,HK
2018-05-17,374.73,374.92,361.09,362.75,74955248,28725821013.0,HK.00700,腾讯控股,HK
2018-05-18,366.51,367.25,360.79,363.56,23222430,8819022685.0,HK.00700,腾讯控股,HK
2018-05-21,368.72,370.01,360.79,360.79,23257913,8876491490.0,HK.00700,腾讯控股,HK
2018-05-23,365.22,366.69,359.87,359.87,26655183,10099409988.0,HK.00700,腾讯控股,HK
2018-05-24,363.56,363.93,355.82,359.87,18613534,6983939572.0,HK.00700,腾讯控股,HK
2018-05-25,356.19,360.43,354.89,357.11,18172430,6760907152.0,HK.00700,腾讯控股,HK
2018-05-28,360.43,360.43,354.53,358.21,14526477,5415467779.0,HK.00700,腾讯控股,HK
2018-05-29,356.92,359.13,355.26,355.26,13160083,4892039361.0,HK.00700,腾讯控股,HK
2018-05-30,353.6,353.6,348.81,348.81,25215888,9228414557.0,HK.00700,腾讯控股,HK
2018-05-31,350.47,355.08,348.99,352.68,39887379,14662389166.0,HK.00700,腾讯控股,HK
2018-06-01,354.89,357.11,351.76,357.11,25117760,9304187316.0,HK.00700,腾讯控股,HK
2018-06-04,365.4,367.25,361.53,367.25,33930840,12889333310.0,HK.00700,腾讯控股,HK
2018-06-05,370.75,371.86,367.62,371.86,28072915,10829017566.0,HK.00700,腾讯控股,HK
2018-06-06,372.96,376.47,372.59,376.47,25186989,9834396497.0,HK.00700,腾讯控股,HK
2018-06-07,382.0,382.55,377.2,380.34,26781475,10570668412.0,HK.00700,腾讯控股,HK
2018-06-08,377.94,377.94,365.03,367.25,31380431,12080890965.0,HK.00700,腾讯控股,HK
2018-06-11,371.86,372.78,367.8,370.93,16793280,6485765114.0,HK.00700,腾讯控股,HK
2018-06-12,372.23,374.07,368.35,369.46,13409584,5180315721.0,HK.00700,腾讯控股,HK
2018-06-13,371.86,371.86,367.25,367.43,13245429,5091525594.0,HK.00700,腾讯控股,HK
2018-06-14,369.64,369.64,361.35,364.48,19191151,7292241153.0,HK.00700,腾讯控股,HK
2018-06-15,368.17,369.09,361.16,362.64,25145379,9569324899.0,HK.00700,腾讯控股,HK
2018-06-19,362.64,362.64,348.99,350.47,37483336,13821602513.0,HK.00700,腾讯控股,HK
2018-06-20,353.42,357.66,351.02,353.6,24910349,9195918269.0,HK.00700,腾讯控股,HK
2018-06-21,357.48,358.03,349.92,350.47,21870516,8065948964.0,HK.00700,腾讯控股,HK
2018-06-22,349.36,353.79,345.31,351.02,21877400,7990101975.0,HK.00700,腾讯控股,HK
2018-06-25,348.81,351.39,342.73,343.09,23526693,8491586644.0,HK.00700,腾讯控股,HK
2018-06-26,338.67,344.57,334.98,340.51,32355451,11471719373.0,HK.00700,腾讯控股,HK
2018-06-27,340.51,341.99,332.59,332.59,30462337,10712999429.0,HK.00700,腾讯控股,HK
2018-06-28,330.37,337.19,328.9,334.06,29845981,10390695986.0,HK.00700,腾讯控股,HK
2018-06-29,334.98,347.7,334.98,347.7,30707055,11019043616.0,HK.00700,腾讯控股,HK
2018-07-03,348.81,348.81,336.46,344.94,27813712,9936670935.0,HK.00700,腾讯控股,HK
2018-07-04,343.46,344.94,336.64,337.75,16352830,5803722433.0,HK.00700,腾讯控股,HK
2018-07-05,337.75,342.36,334.24,340.14,15169477,5364961603.0,HK.00700,腾讯控股,HK
2018-07-06,341.44,343.46,335.35,341.07,19526883,6950457297.0,HK.00700,腾讯控股,HK
2018-07-09,348.07,351.58,346.23,349.73,19930699,7265342560.0,HK.00700,腾讯控股,HK
2018-07-10,349.73,351.58,340.7,341.25,29062465,10436860002.0,HK.00700,腾讯控股,HK
2018-07-11,333.14,337.01,330.37,334.43,26593195,9284249850.0,HK.00700,腾讯控股,HK
2018-07-12,333.14,339.41,332.03,334.98,16809777,5899711505.0,HK.00700,腾讯控股,HK
2018-07-13,341.25,341.25,334.98,335.9,13274223,4678756916.0,HK.00700,腾讯控股,HK
2018-07-16,338.3,340.7,335.35,336.27,11972585,4217112846.0,HK.00700,腾讯控股,HK
2018-07-17,334.98,335.54,330.37,331.11,16858999,5850242250.0,HK.00700,腾讯控股,HK
2018-07-18,335.35,337.75,331.29,333.14,14319542,4996447606.0,HK.00700,腾讯控股,HK
2018-07-19,333.14,335.54,330.56,330.93,11378012,3950992879.0,HK.00700,腾讯控股,HK
2018-07-20,331.11,332.77,327.24,331.85,18527338,6394979592.0,HK.00700,腾讯控股,HK
2018-07-23,332.77,332.77,325.03,326.69,21629612,7402504817.0,HK.00700,腾讯控股,HK
2018-07-24,329.45,330.93,327.42,330.56,22624601,7796825438.0,HK.00700,腾讯控股,HK
2018-07-25,333.32,334.98,331.66,334.8,20286308,7073348837.0,HK.00700,腾讯控股,HK
2018-07-26,336.64,337.56,326.13,330.19,24174625,8353540929.0,HK.00700,腾讯控股,HK
2018-07-27,326.69,329.45,325.58,328.53,15688934,5381027612.0,HK.00700,腾讯控股,HK
2018-07-30,325.76,326.5,318.02,323.18,27567723,9286033461.0,HK.00700,腾讯控股,HK
2018-07-31,317.47,318.2,310.46,312.12,40113296,13209744425.0,HK.00700,腾讯控股,HK
2018-08-01,317.28,317.65,310.09,311.94,27888040,9158262997.0,HK.00700,腾讯控股,HK
2018-08-02,309.91,311.38,298.48,302.72,44233632,14093093959.0,HK.00700,腾讯控股,HK
2018-08-03,305.67,311.57,304.19,307.14,32836762,10587786504.0,HK.00700,腾讯控股,HK
2018-08-06,314.52,314.52,307.33,310.09,23264389,7593836811.0,HK.00700,腾讯控股,HK
2018-08-07,311.94,315.07,306.04,313.78,19668271,6431111581.0,HK.00700,腾讯控股,HK
2018-08-08,322.63,322.63,317.1,320.23,27607057,9255511727.0,HK.00700,腾讯控股,HK
2018-08-09,323.0,330.74,321.15,328.16,28883604,9887474946.0,HK.00700,腾讯控股,HK
2018-08-10,330.74,330.93,320.79,325.76,21180662,7209597386.0,HK.00700,腾讯控股,HK
2018-08-13,319.31,320.79,316.73,317.47,18388394,6140502546.0,HK.00700,腾讯控股,HK
2018-08-14,311.94,314.7,299.77,306.04,43572420,13975044678.0,HK.00700,腾讯控股,HK
2018-08-15,300.87,301.8,293.5,294.42,40449311,12587697662.0,HK.00700,腾讯控股,HK
2018-08-16,279.67,291.29,278.75,285.02,75116910,22473272423.0,HK.00700,腾讯控股,HK
2018-08-17,293.5,297.0,292.21,295.34,46318477,14355366142.0,HK.00700,腾讯控股,HK
2018-08-20,301.06,309.54,300.32,308.06,37937817,12129963416.0,HK.00700,腾讯控股,HK
2018-08-21,311.94,311.94,303.27,307.88,24719111,7973613224.0,HK.00700,腾讯控股,HK
